Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Aberafan Maesteg,Lab hold,Lab,RUK,72580,35755,79,10354,2903,17838,916,7484,1094,0,,
Aberdeen North,SNP hold,SNP,Lab,75925,42095,115,1760,5881,12773,2583,3781,1275,14533,,
Aberdeen South,SNP hold,SNP,Lab,77328,46345,178,3758,11300,11455,2921,3199,1609,15213,,
Aberdeenshire North and Moray East,SNP gain from Con,SNP,Con,70058,38188,170,942,12513,3876,2782,5562,0,13455,,
Airdrie and Shotts,Lab gain from SNP,Lab,SNP,70199,36666,95,7547,1696,18871,725,2971,0,11324,,
Aldershot,Lab gain from Con,Lab,Con,78553,48544,179,5683,14081,19764,4052,8210,2155,0,,
Aldridge-Brownhills,Con hold,Con,Lab,70268,40912,156,4294,15901,11607,1755,9903,1746,0,,
Alloa and Grangemouth,Lab gain from SNP,Lab,SNP,70680,41201,74,6122,3127,18039,1151,3804,1421,11917,,
Altrincham and Sale West,Lab gain from Con,Lab,Con,74025,51452,184,4174,16624,20798,4727,4961,3699,0,,
Alyn and Deeside,Lab hold,Lab,RUK,75790,43392,135,8794,7892,18395,2065,9601,1926,0,,
Amber Valley,Lab gain from Con,Lab,RUK,71546,42531,105,3554,10725,15746,1590,12192,2278,0,,
Angus and Perthshire Glens,SNP hold,SNP,Con,76668,47348,224,4870,14272,6799,3156,3246,0,19142,,
Arbroath and Broughty Ferry,SNP hold,SNP,Lab,76149,44117,161,859,6841,14722,2249,3800,0,15581,,
"Argyll, Bute and South Lochaber",SNP hold,SNP,Con,71756,44862,216,6232,9350,8585,7359,3045,0,15582,,
Arundel and South Downs,Con hold,Con,LD,77969,54740,214,12134,22001,9782,9867,7391,5515,0,,
Ashfield,RUK gain from Con,RUK,Lab,68929,39882,102,5508,3271,11554,619,17062,1100,0,,
Ashford,Lab gain from Con,Lab,Con,76233,46975,164,1779,13483,15262,2445,10141,4355,0,,
Ashton-under-Lyne,Lab hold,Lab,RUK,71002,35461,136,6791,4375,15575,1411,8784,2481,0,,
Aylesbury,Lab gain from Con,Lab,Con,79169,49940,213,630,14451,15081,10440,6746,2590,0,,
"Ayr, Carrick and Cumnock",Lab gain from SNP,Lab,SNP,70340,40936,120,4154,9247,14930,1081,3544,886,10776,,
Banbury,Lab gain from Con,Lab,Con,73250,48178,187,3256,15212,18468,4352,6284,2615,0,,
Bangor Aberconwy,Lab gain from Con,Lab,PC,70527,41660,154,4896,9036,14008,1524,6091,1361,0,,
Barking,Lab hold,Lab,RUK,79822,36477,120,11054,4294,16227,1015,5173,4988,0,,
Barnsley North,Lab hold,Lab,RUK,78274,36894,114,7811,3083,18610,1336,10799,1805,0,,
Barnsley South,Lab hold,Lab,RUK,75853,35082,78,4748,3247,16399,1172,11651,1521,0,,
Barrow and Furness,Lab gain from Con,Lab,Con,74980,42221,141,5324,13213,18537,1680,7035,1466,0,,
Basildon and Billericay,Con hold,Con,Lab,76873,42124,176,20,12905,12885,2292,11354,2123,0,,
Basingstoke,Lab gain from Con,Lab,Con,78487,48989,189,6484,14438,20922,3176,6314,3568,0,,
Bassetlaw,Lab gain from Con,Lab,Con,78161,44878,150,5768,12708,18476,1996,9751,1947,0,,
Bath,LD hold,LD,Lab,69662,48130,192,11218,7659,8665,19883,3798,5952,0,,
Bathgate and Linlithgow,Lab gain from SNP,Lab,SNP,72185,42065,92,8323,3144,19774,2171,3524,1390,11451,,
Battersea,Lab hold,Lab,Con,72827,47082,237,12039,10944,22983,4826,2825,4239,0,,
Beaconsfield,Con hold,Con,LD,72751,47726,162,5455,18494,7216,13039,6055,1977,0,,
Beckenham and Penge,Lab hold,Lab,Con,77198,52222,218,12905,12848,25753,4436,5355,3830,0,,
Bedford,Lab hold,Lab,Con,72478,40659,210,9430,8912,18342,4025,4548,2394,0,,
Belfast East,DUP hold,DUP,APNI,72917,42706,184,2676,0,0,0,0,1077,0,,
Belfast North,SF hold,SF,DUP,74240,40452,293,5612,0,0,0,0,1206,0,,
Belfast South and Mid Down,SDLP hold,SDLP,APNI,74749,43491,266,12506,0,0,0,0,1577,0,,
Belfast West,SF hold,SF,PBPA,75346,39743,256,15961,0,0,0,0,451,0,,
Bermondsey and Old Southwark,Lab hold,Lab,LD,69482,37603,180,7787,2879,16857,9070,3397,4477,0,,
"Berwickshire, Roxburgh and Selkirk",Con hold,Con,SNP,76438,46558,138,6599,18872,6311,3686,3340,1526,12273,,
Bethnal Green and Stepney,Lab hold,Lab,Ind,81439,46647,320,1689,1920,15896,4777,1964,6391,0,,
Beverley and Holderness,Con hold,Con,Lab,71994,44897,144,124,15501,15377,3386,8198,1647,0,,
Bexhill and Battle,Con hold,Con,Lab,72198,47750,188,2657,16186,13529,3473,7929,2972,0,,
Bexleyheath and Crayford,Lab gain from Con,Lab,Con,70297,43461,118,2114,13603,15717,2204,9861,2076,0,,
Bicester and Woodstock,LD gain from Con,LD,Con,74353,50219,167,4958,14461,8236,19419,5408,2404,0,,
Birkenhead,Lab hold,Lab,Green,78091,43134,142,13798,3238,22468,2292,6142,8670,0,,
Birmingham Edgbaston,Lab hold,Lab,Con,71787,37428,179,8368,8231,16599,2102,4363,2797,0,,
Birmingham Erdington,Lab hold,Lab,RUK,77463,34137,152,7019,5402,14774,1128,7755,2452,0,,
Birmingham Hall Green and Moseley,Lab hold,Lab,Ind,76936,41606,256,5656,3845,12798,4711,2305,3913,0,,
Birmingham Hodge Hill and Solihull North,Lab hold,Lab,WPB,77737,34136,127,1566,4634,10655,942,6456,2360,0,,
Birmingham Ladywood,Lab hold,Lab,Ind,83693,36579,203,3421,2218,15558,1711,1477,3478,0,,
Birmingham Northfield,Lab gain from Con,Lab,Con,74048,37652,138,5389,9540,14929,1791,7895,2809,0,,
Birmingham Perry Barr,Ind gain from Lab,Ind,Lab,76350,37476,211,507,4227,12796,1302,2446,2440,0,,
Birmingham Selly Oak,Lab hold,Lab,Con,75678,38423,144,11537,5834,17371,2324,5732,4320,0,,
Birmingham Yardley,Lab hold,Lab,WPB,73203,36144,128,693,3634,11275,3634,5061,1958,0,,
Bishop Auckland,Lab gain from Con,Lab,Con,70745,40427,133,6672,10364,17036,1373,9466,1857,0,,
Blackburn,Ind gain from Lab,Ind,Lab,73263,38887,163,132,3474,10386,689,4844,1416,0,,
Blackley and Middleton South,Lab hold,Lab,RUK,72303,31340,149,10250,3073,16864,1592,6614,3197,0,,
Blackpool North and Fleetwood,Lab gain from Con,Lab,Con,73339,41810,128,4647,12097,16744,1318,9913,1269,0,,
Blackpool South,Lab gain from Con,Lab,RUK,77460,35180,129,6848,5504,16916,1041,10068,1207,0,,
Blaenau Gwent and Rhymney,Lab hold,Lab,PC,70153,29922,516,12183,3776,16027,1268,0,1719,0,,
Blaydon and Consett,Lab hold,Lab,RUK,70487,42216,120,11153,6052,21160,2273,10007,2589,0,,
Blyth and Ashington,Lab hold,Lab,RUK,76595,40401,126,9173,6121,20030,1433,10857,1960,0,,
Bognor Regis and Littlehampton,Con hold,Con,Lab,76854,47827,186,1765,15678,13913,5081,10262,2185,0,,
Bolsover,Lab gain from Con,Lab,Con,77207,42434,111,6323,10874,17197,1478,9131,3754,0,,
Bolton North East,Lab gain from Con,Lab,Con,80011,43359,148,6653,9513,16166,1507,9428,4683,0,,
