constituency,population,region
Constituency 1,101012,East Midlands
Constituency 2,60278,East Midlands
Constituency 3,123858,Scotland
Constituency 4,55118,East Midlands
Constituency 5,42693,East Midlands
Constituency 6,70259,East of England
Constituency 7,69824,North East
Constituency 8,84375,East Midlands
Constituency 9,56808,Scotland
Constituency 10,46930,South East
Constituency 11,60491,East of England
Constituency 12,72479,East of England
Constituency 13,85384,Scotland
Constituency 14,37423,Yorkshire and The Humber
Constituency 15,85047,South East
Constituency 16,97230,Scotland
Constituency 17,77057,South West
Constituency 18,40550,Yorkshire and The Humber
Constituency 19,29748,East of England
Constituency 20,88059,South East
Constituency 21,73282,South East
Constituency 22,72829,East of England
Constituency 23,59343,Wales
Constituency 24,76131,North West
Constituency 25,102827,East of England
Constituency 26,67306,West Midlands
Constituency 27,62924,Wales
Constituency 28,84039,Wales
Constituency 29,91418,South East
Constituency 30,79204,Scotland
Constituency 31,96285,North East
Constituency 32,45071,West Midlands
Constituency 33,51262,West Midlands
Constituency 34,103398,Yorkshire and The Humber
Constituency 35,58794,West Midlands
Constituency 36,83890,West Midlands
Constituency 37,96426,Scotland
Constituency 38,64750,South West
Constituency 39,61893,Wales
Constituency 40,81878,Yorkshire and The Humber
Constituency 41,37545,South West
Constituency 42,107264,East Midlands
Constituency 43,122233,West Midlands
Constituency 44,66780,South West
Constituency 45,71652,East of England
Constituency 46,74212,Scotland
Constituency 47,59540,Yorkshire and The Humber
Constituency 48,60210,West Midlands
Constituency 49,92753,Scotland
Constituency 50,51051,Scotland
Constituency 51,60235,East of England
Constituency 52,78943,Scotland
Constituency 53,60192,East of England
Constituency 54,50450,East Midlands
Constituency 55,64888,North East
Constituency 56,96281,Yorkshire and The Humber
Constituency 57,79281,West Midlands
Constituency 58,88628,North West
Constituency 59,66050,London
Constituency 60,83120,South East
Constituency 61,102258,South West
Constituency 62,75923,East of England
Constituency 63,89076,East of England
Constituency 64,102686,East Midlands
Constituency 65,50880,South East
Constituency 66,90830,Wales
Constituency 67,59593,Yorkshire and The Humber
Constituency 68,75850,Yorkshire and The Humber
Constituency 69,111823,Yorkshire and The Humber
Constituency 70,49371,Wales
Constituency 71,85437,South West
Constituency 72,46256,North East
Constituency 73,72897,Scotland
Constituency 74,57179,South West
Constituency 75,139202,Scotland
Constituency 76,81997,South West
Constituency 77,72929,North West
Constituency 78,91328,Scotland
Constituency 79,64837,Yorkshire and The Humber
Constituency 80,56566,Yorkshire and The Humber
Constituency 81,69029,West Midlands
Constituency 82,59990,North East
Constituency 83,59092,South East
Constituency 84,66807,West Midlands
Constituency 85,69526,Scotland
Constituency 86,51410,Yorkshire and The Humber
Constituency 87,73639,East of England
Constituency 88,124323,Yorkshire and The Humber
Constituency 89,96077,London
Constituency 90,51910,Wales
Constituency 91,44510,Wales
Constituency 92,83026,Wales
Constituency 93,68943,Scotland
Constituency 94,62109,London
Constituency 95,40563,Scotland
Constituency 96,83454,South West
Constituency 97,87798,Scotland
Constituency 98,90895,Wales
Constituency 99,48856,Scotland
Constituency 100,53754,London
Constituency 101,46576,Wales
Constituency 102,59482,Yorkshire and The Humber
Constituency 103,73831,Yorkshire and The Humber
Constituency 104,64029,West Midlands
Constituency 105,73620,East Midlands
Constituency 106,67214,East Midlands
Constituency 107,49542,South East
Constituency 108,91100,Scotland
Constituency 109,56753,North East
Constituency 110,94403,Wales
Constituency 111,75944,Yorkshire and The Humber
Constituency 112,86105,Wales
Constituency 113,61756,East of England
Constituency 114,42366,Yorkshire and The Humber
Constituency 115,61150,South East
Constituency 116,89361,South West
Constituency 117,71018,South East
Constituency 118,73878,Yorkshire and The Humber
Constituency 119,94384,East Midlands
Constituency 120,58203,Yorkshire and The Humber
Constituency 121,67966,South East
Constituency 122,70550,North West
Constituency 123,30019,London
Constituency 124,74012,East Midlands
Constituency 125,87380,North West
Constituency 126,50660,West Midlands
Constituency 127,26731,South West
Constituency 128,60828,East Midlands
Constituency 129,94974,North West
Constituency 130,93313,London
Constituency 131,70015,North West
Constituency 132,66940,North West
Constituency 133,72789,East Midlands
Constituency 134,56887,South East
Constituency 135,49579,West Midlands
Constituency 136,99180,North West
Constituency 137,121665,Scotland
Constituency 138,47356,Wales
Constituency 139,78178,South West
Constituency 140,77525,North West
Constituency 141,93853,North East
Constituency 142,63379,North West
Constituency 143,77773,London
Constituency 144,63025,West Midlands
Constituency 145,90638,South East
Constituency 146,69802,West Midlands
Constituency 147,42916,London
Constituency 148,78074,Wales
Constituency 149,84999,East Midlands
Constituency 150,95818,South West
Constituency 151,28100,West Midlands
Constituency 152,86720,Scotland
Constituency 153,67626,Scotland
Constituency 154,54200,London
Constituency 155,65733,South West
Constituency 156,78792,East of England
Constituency 157,52971,East of England
Constituency 158,84416,South East
Constituency 159,103281,West Midlands
Constituency 160,76295,West Midlands
Constituency 161,41135,North West
Constituency 162,56459,West Midlands
Constituency 163,111543,South East
Constituency 164,82667,Scotland
Constituency 165,43909,South West
Constituency 166,94664,East of England
Constituency 167,96388,South West
Constituency 168,65877,Wales
Constituency 169,97181,North East
Constituency 170,84402,North West
Constituency 171,39292,Scotland
Constituency 172,83485,East Midlands
Constituency 173,89098,Scotland
Constituency 174,83640,West Midlands
Constituency 175,83031,North East
Constituency 176,90772,Scotland
Constituency 177,79538,South East
Constituency 178,52865,Scotland
Constituency 179,95282,Wales
Constituency 180,66409,West Midlands
Constituency 181,65809,South West
Constituency 182,85704,West Midlands
Constituency 183,92430,West Midlands
Constituency 184,79593,North West
Constituency 185,45042,Wales
Constituency 186,67940,South West
Constituency 187,60523,Scotland
Constituency 188,56346,South West
Constituency 189,69754,London
Constituency 190,86789,East Midlands
Constituency 191,55990,Scotland
Constituency 192,62799,Wales
Constituency 193,68088,East of England
Constituency 194,99230,Wales
Constituency 195,80646,North East
Constituency 196,80755,Yorkshire and The Humber
Constituency 197,39485,East Midlands
Constituency 198,83017,South West
Constituency 199,75618,West Midlands
Constituency 200,103470,Scotland
Constituency 201,74467,North West
Constituency 202,54666,North East
Constituency 203,63618,East of England
Constituency 204,69730,Wales
Constituency 205,94996,East Midlands
Constituency 206,81427,East of England
Constituency 207,68431,East of England
Constituency 208,68227,North West
Constituency 209,78969,Scotland
Constituency 210,67709,East of England
Constituency 211,61846,East Midlands
Constituency 212,72337,London
Constituency 213,76881,West Midlands
Constituency 214,64387,Yorkshire and The Humber
Constituency 215,68156,Scotland
Constituency 216,94874,Yorkshire and The Humber
Constituency 217,74647,West Midlands
Constituency 218,80451,Yorkshire and The Humber
Constituency 219,95737,Yorkshire and The Humber
Constituency 220,81093,East of England
Constituency 221,53952,South East
Constituency 222,80804,Yorkshire and The Humber
Constituency 223,61582,South East
Constituency 224,82829,South West
Constituency 225,88754,East of England
Constituency 226,44825,South West
Constituency 227,81165,East of England
Constituency 228,84210,East of England
Constituency 229,102017,North East
Constituency 230,88237,East of England
Constituency 231,88221,Scotland
Constituency 232,76566,North West
Constituency 233,91146,South West
Constituency 234,86191,East Midlands
Constituency 235,76303,South East
Constituency 236,111046,North East
Constituency 237,97783,Scotland
Constituency 238,74687,South West
Constituency 239,83266,West Midlands
Constituency 240,89821,North West
Constituency 241,115254,East of England
Constituency 242,78705,North West
Constituency 243,81984,South East
Constituency 244,79545,East of England
Constituency 245,66676,West Midlands
Constituency 246,49373,Yorkshire and The Humber
Constituency 247,82605,Wales
Constituency 248,84241,East of England
Constituency 249,95661,Scotland
Constituency 250,104013,Yorkshire and The Humber
Constituency 251,82478,South West
Constituency 252,82243,East of England
Constituency 253,64492,West Midlands
Constituency 254,74514,North East
Constituency 255,113296,South West
Constituency 256,21360,West Midlands
Constituency 257,57547,Yorkshire and The Humber
Constituency 258,94298,London
Constituency 259,77390,Yorkshire and The Humber
Constituency 260,75156,North West
Constituency 261,87158,London
Constituency 262,53342,Scotland
Constituency 263,56759,Yorkshire and The Humber
Constituency 264,97273,East Midlands
Constituency 265,120996,Yorkshire and The Humber
Constituency 266,90482,South East
Constituency 267,68512,London
Constituency 268,70420,West Midlands
Constituency 269,68987,Wales
Constituency 270,87565,Yorkshire and The Humber
Constituency 271,42650,Wales
Constituency 272,71513,East of England
Constituency 273,90400,West Midlands
Constituency 274,78170,London
Constituency 275,42020,West Midlands
Constituency 276,55590,West Midlands
