constituency,population,region
Wales Constituency 1,51502,Wales
Wales Constituency 2,75915,Wales
Wales Constituency 3,70825,Wales
Wales Constituency 4,84349,Wales
Wales Constituency 5,65053,Wales
Wales Constituency 6,68544,Wales
Wales Constituency 7,80599,Wales
Wales Constituency 8,77386,Wales
Wales Constituency 9,57328,Wales
Wales Constituency 10,39451,Wales
Wales Constituency 11,76092,Wales
Wales Constituency 12,83355,Wales
Wales Constituency 13,64862,Wales
Wales Constituency 14,57612,Wales
Wales Constituency 15,66558,Wales
Wales Constituency 16,80403,Wales
Wales Constituency 17,96008,Wales
Wales Constituency 18,79360,Wales
Wales Constituency 19,74121,Wales
Wales Constituency 20,104413,Wales
Wales Constituency 21,76523,Wales
Wales Constituency 22,67718,Wales
Wales Constituency 23,81044,Wales
Wales Constituency 24,81189,Wales
Wales Constituency 25,110922,Wales
Wales Constituency 26,48399,Wales
Wales Constituency 27,78158,Wales
Wales Constituency 28,83095,Wales
Wales Constituency 29,53446,Wales
Wales Constituency 30,48442,Wales
Wales Constituency 31,66817,Wales
Wales Constituency 32,87658,Wales
Scotland Constituency 1,103759,Scotland
Scotland Constituency 2,66212,Scotland
Scotland Constituency 3,105123,Scotland
Scotland Constituency 4,89286,Scotland
Scotland Constituency 5,57464,Scotland
Scotland Constituency 6,76782,Scotland
Scotland Constituency 7,94606,Scotland
Scotland Constituency 8,102343,Scotland
Scotland Constituency 9,48651,Scotland
Scotland Constituency 10,90904,Scotland
Scotland Constituency 11,59874,Scotland
Scotland Constituency 12,97886,Scotland
Scotland Constituency 13,68104,Scotland
Scotland Constituency 14,105727,Scotland
Scotland Constituency 15,57618,Scotland
Scotland Constituency 16,61280,Scotland
Scotland Constituency 17,100281,Scotland
Scotland Constituency 18,111215,Scotland
Scotland Constituency 19,104777,Scotland
Scotland Constituency 20,56993,Scotland
Scotland Constituency 21,64873,Scotland
Scotland Constituency 22,76309,Scotland
Scotland Constituency 23,69095,Scotland
Scotland Constituency 24,84684,Scotland
Scotland Constituency 25,72293,Scotland
Scotland Constituency 26,81318,Scotland
Scotland Constituency 27,67521,Scotland
Scotland Constituency 28,122572,Scotland
Scotland Constituency 29,81460,Scotland
Scotland Constituency 30,80643,Scotland
Scotland Constituency 31,70564,Scotland
Scotland Constituency 32,86840,Scotland
Scotland Constituency 33,49540,Scotland
Scotland Constituency 34,76767,Scotland
Scotland Constituency 35,47510,Scotland
Scotland Constituency 36,77036,Scotland
Scotland Constituency 37,103509,Scotland
Scotland Constituency 38,66242,Scotland
Scotland Constituency 39,40445,Scotland
Scotland Constituency 40,57542,Scotland
Scotland Constituency 41,83664,Scotland
Scotland Constituency 42,66128,Scotland
Scotland Constituency 43,83285,Scotland
Scotland Constituency 44,91813,Scotland
Scotland Constituency 45,85266,Scotland
Scotland Constituency 46,62136,Scotland
Scotland Constituency 47,76985,Scotland
Scotland Constituency 48,89132,Scotland
Scotland Constituency 49,45963,Scotland
Scotland Constituency 50,100211,Scotland
Scotland Constituency 51,70628,Scotland
Scotland Constituency 52,60441,Scotland
Scotland Constituency 53,52159,Scotland
Scotland Constituency 54,92086,Scotland
Scotland Constituency 55,93692,Scotland
Scotland Constituency 56,82608,Scotland
Scotland Constituency 57,22829,Scotland
North East Constituency 1,51966,North East
North East Constituency 2,78234,North East
North East Constituency 3,75999,North East
North East Constituency 4,77083,North East
North East Constituency 5,58787,North East
North East Constituency 6,97185,North East
North East Constituency 7,97634,North East
North East Constituency 8,114267,North East
North East Constituency 9,85014,North East
North East Constituency 10,54198,North East
North East Constituency 11,66528,North East
North East Constituency 12,63717,North East
North East Constituency 13,95154,North East
North East Constituency 14,66622,North East
North East Constituency 15,91757,North East
North East Constituency 16,77730,North East
North East Constituency 17,103853,North East
North East Constituency 18,85065,North East
North East Constituency 19,83343,North East
North East Constituency 20,115705,North East
North East Constituency 21,55505,North East
North East Constituency 22,63953,North East
North East Constituency 23,81573,North East
North East Constituency 24,61796,North East
