age,gender,education,income,region,party_preference
55-64,Female,Degree,"0-£12,570",London,Lib-Dems
65+,Female,GCSE,"0-£12,570",South West,Labour
65+,Male,Degree,"£12,571-£50,270",North West,Reform UK
45-54,Female,Degree,"0-£12,570",South East,Lib-Dems
35-44,Male,Degree,"£12,571-£50,270",South East,Labour
25-34,Male,A-levels,"£12,571-£50,270",London,Greens
18-24,Male,A-levels,"£12,571-£50,270",South West,Conservatives
55-64,Male,GCSE,"£12,571-£50,270",South West,Conservatives
25-34,Male,Degree,"£12,571-£50,270",East of England,Labour
55-64,Female,None,"£12,571-£50,270",South West,Conservatives
65+,Female,None,"£12,571-£50,270",North East,Lib-Dems
25-34,Female,GCSE,"0-£12,570",North East,Labour
35-44,Female,A-levels,"£12,571-£50,270",West Midlands,Lib-Dems
25-34,Female,None,"£12,571-£50,270",Scotland,Conservatives
45-54,Female,None,"£12,571-£50,270",London,Labour
55-64,Female,GCSE,"£12,571-£50,270",East of England,Conservatives
35-44,Female,None,"£12,571-£50,270",South West,Conservatives
55-64,Female,A-levels,"£12,571-£50,270",South East,Greens
35-44,Male,A-levels,"£12,571-£50,270",North East,Labour
65+,Female,GCSE,"£50,271-£125,140",East of England,Conservatives
35-44,Female,Degree,"0-£12,570",North West,Conservatives
45-54,Female,Degree,"£12,571-£50,270",East of England,Labour
25-34,Male,None,"£12,571-£50,270",West Midlands,SNP
65+,Female,A-levels,"0-£12,570",East of England,Conservatives
25-34,Male,A-levels,"£12,571-£50,270",West Midlands,Conservatives
35-44,Male,A-levels,"£12,571-£50,270",Wales,SNP
65+,Female,None,"£12,571-£50,270",West Midlands,SNP
18-24,Female,A-levels,"0-£12,570",East Midlands,Conservatives
65+,Male,A-levels,"£12,571-£50,270",Wales,Reform UK
18-24,Male,GCSE,"0-£12,570",North West,Lib-Dems
55-64,Female,A-levels,"0-£12,570",North East,Conservatives
55-64,Male,None,"£125,140+",Wales,Lib-Dems
65+,Female,A-levels,"£50,271-£125,140",North West,Conservatives
45-54,Male,Degree,"£50,271-£125,140",East of England,Greens
35-44,Male,Degree,"£50,271-£125,140",East Midlands,Greens
55-64,Female,None,"£12,571-£50,270",East Midlands,Conservatives
45-54,Female,A-levels,"£12,571-£50,270",East of England,Reform UK
65+,Male,Degree,"£12,571-£50,270",Wales,Labour
35-44,Male,GCSE,"0-£12,570",North East,Labour
45-54,Male,Degree,"£50,271-£125,140",Yorkshire and The Humber,Greens
35-44,Female,GCSE,"£12,571-£50,270",West Midlands,Labour
35-44,Male,None,"£12,571-£50,270",North West,Greens
45-54,Male,GCSE,"£12,571-£50,270",South East,Labour
45-54,Female,None,"£50,271-£125,140",North East,Lib-Dems
25-34,Male,Degree,"£12,571-£50,270",Scotland,SNP
18-24,Male,A-levels,"£50,271-£125,140",South West,Conservatives
18-24,Male,A-levels,"£50,271-£125,140",Wales,Greens
65+,Female,GCSE,"£12,571-£50,270",South West,Conservatives
25-34,Male,GCSE,"0-£12,570",East Midlands,Conservatives
45-54,Female,Degree,"£50,271-£125,140",East Midlands,Reform UK
65+,Male,None,"0-£12,570",East of England,Greens
45-54,Male,A-levels,"£50,271-£125,140",East Midlands,Conservatives
25-34,Female,GCSE,"£12,571-£50,270",East Midlands,Labour
35-44,Female,GCSE,"£50,271-£125,140",Yorkshire and The Humber,Labour
55-64,Female,GCSE,"0-£12,570",East Midlands,Labour
45-54,Male,A-levels,"£12,571-£50,270",Yorkshire and The Humber,Conservatives
65+,Male,Degree,"£12,571-£50,270",East of England,Reform UK
35-44,Female,None,"£12,571-£50,270",North East,Greens
45-54,Male,A-levels,"£50,271-£125,140",Wales,SNP
35-44,Male,A-levels,"0-£12,570",East Midlands,Conservatives
45-54,Female,None,"£12,571-£50,270",Scotland,Reform UK
55-64,Male,A-levels,"£12,571-£50,270",South East,Greens
